cluster,ensembl_gene_id,external_gene_name
1,ENSG00000116586,LAMTOR2
1,ENSG00000116691,MIIP
1,ENSG00000116701,NCF2
1,ENSG00000117228,GBP1
1,ENSG00000117525,F3
1,ENSG00000118292,C1orf54
1,ENSG00000118454,ANKRD13C
1,ENSG00000118508,RAB32
1,ENSG00000118523,CTGF
1,ENSG00000118680,MYL12B
1,ENSG00000118816,CCNI
1,ENSG00000118900,UBN1
1,ENSG00000118971,CCND2
1,ENSG00000118972,FGF23
1,ENSG00000119392,GLE1
1,ENSG00000119535,CSF3R
1,ENSG00000119541,VPS4B
1,ENSG00000119707,RBM25
1,ENSG00000121851,POLR3GL
1,ENSG00000122026,RPL21
1,ENSG00000122122,SASH3
1,ENSG00000122386,ZNF205
1,ENSG00000122566,HNRNPA2B1
1,ENSG00000122641,INHBA
1,ENSG00000122643,NT5C3A
1,ENSG00000122711,SPINK4
1,ENSG00000123159,GIPC1
1,ENSG00000123179,EBPL
1,ENSG00000123349,PFDN5
1,ENSG00000123836,PFKFB2
1,ENSG00000124145,SDC4
1,ENSG00000124216,SNAI1
1,ENSG00000124562,SNRPC
1,ENSG00000124659,TBCC
1,ENSG00000124766,SOX4
1,ENSG00000124783,SSR1
1,ENSG00000125144,MT1G
1,ENSG00000125249,RAP2A
1,ENSG00000125356,NDUFA1
1,ENSG00000125398,SOX9
1,ENSG00000125538,IL1B
1,ENSG00000125746,EML2
1,ENSG00000125820,NKX2-2
1,ENSG00000125877,ITPA
1,ENSG00000125878,TCF15
1,ENSG00000125901,MRPS26
1,ENSG00000125965,GDF5
1,ENSG00000125968,ID1
1,ENSG00000125977,EIF2S2
1,ENSG00000126264,HCST
1,ENSG00000127666,TICAM1
1,ENSG00000127837,AAMP
1,ENSG00000128016,ZFP36
1,ENSG00000128228,SDF2L1
1,ENSG00000128510,CPA4
1,ENSG00000128594,LRRC4
1,ENSG00000128626,MRPS12
1,ENSG00000129521,EGLN3
1,ENSG00000129657,SEC14L1
1,ENSG00000130222,GADD45G
1,ENSG00000130429,ARPC1B
1,ENSG00000130513,GDF15
1,ENSG00000130522,JUND
1,ENSG00000130701,RBBP8NL
1,ENSG00000130813,C19orf66
1,ENSG00000131116,ZNF428
1,ENSG00000131203,IDO1
1,ENSG00000131507,NDFIP1
1,ENSG00000131626,PPFIA1
1,ENSG00000131779,PEX11B
1,ENSG00000131966,ACTR10
1,ENSG00000132329,RAMP1
1,ENSG00000132423,COQ3
1,ENSG00000132432,SEC61G
1,ENSG00000132465,IGJ
1,ENSG00000132507,EIF5A
1,ENSG00000132510,KDM6B
1,ENSG00000132824,SERINC3
1,ENSG00000132967,HMGB1P5
1,ENSG00000133119,RFC3
1,ENSG00000133131,MORC4
1,ENSG00000133216,EPHB2
1,ENSG00000133250,ZNF414
1,ENSG00000133460,SLC2A11
1,ENSG00000133665,DYDC2
1,ENSG00000133835,HSD17B4
1,ENSG00000133895,MEN1
1,ENSG00000134186,PRPF38B
1,ENSG00000134248,LAMTOR5
1,ENSG00000134285,FKBP11
1,ENSG00000134287,ARF3
1,ENSG00000134538,SLCO1B1
1,ENSG00000134612,FOLH1B
1,ENSG00000134717,BTF3L4
1,ENSG00000134970,TMED7
1,ENSG00000135097,MSI1
1,ENSG00000135205,CCDC146
1,ENSG00000135334,AKIRIN2
1,ENSG00000135373,EHF
1,ENSG00000135390,ATP5G2
1,ENSG00000135723,FHOD1
1,ENSG00000135925,WNT10A
1,ENSG00000136931,NR5A1
1,ENSG00000137168,PPIL1
1,ENSG00000137462,TLR2
1,ENSG00000137818,RPLP1
1,ENSG00000138385,SSB
1,ENSG00000138755,CXCL9
1,ENSG00000139083,ETV6
1,ENSG00000139218,SCAF11
1,ENSG00000139289,PHLDA1
1,ENSG00000139318,DUSP6
1,ENSG00000139343,SNRPF
1,ENSG00000139515,PDX1
1,ENSG00000139946,PELI2
1,ENSG00000140254,DUOXA1
1,ENSG00000140274,DUOXA2
1,ENSG00000140279,DUOX2
1,ENSG00000140297,GCNT3
1,ENSG00000141380,SS18
1,ENSG00000141499,WRAP53
1,ENSG00000141504,SAT2
1,ENSG00000141582,CBX4
1,ENSG00000141699,FAM134C
1,ENSG00000142002,DPP9
1,ENSG00000142538,PTH2
1,ENSG00000142546,NOSIP
1,ENSG00000142634,EFHD2
1,ENSG00000142694,EVA1B
1,ENSG00000142871,CYR61
1,ENSG00000143162,CREG1
1,ENSG00000143333,RGS16
1,ENSG00000143546,S100A8
1,ENSG00000143590,EFNA3
1,ENSG00000144134,RABL2A
1,ENSG00000144224,UBXN4
1,ENSG00000144566,RAB5A
1,ENSG00000144867,SRPRB
1,ENSG00000145050,MANF
1,ENSG00000145113,MUC4
1,ENSG00000145907,G3BP1
1,ENSG00000146070,PLA2G7
1,ENSG00000146072,TNFRSF21
1,ENSG00000146109,ABT1
1,ENSG00000147140,NONO
1,ENSG00000147454,SLC25A37
1,ENSG00000148180,GSN
1,ENSG00000148344,PTGES
1,ENSG00000148346,LCN2
1,ENSG00000148677,ANKRD1
1,ENSG00000148834,GSTO1
1,ENSG00000149599,DUSP15
1,ENSG00000149600,COMMD7
1,ENSG00000149636,DSN1
1,ENSG00000149932,TMEM219
1,ENSG00000150991,UBC
1,ENSG00000151012,SLC7A11
1,ENSG00000151552,QDPR
1,ENSG00000151882,CCL28
1,ENSG00000152082,MZT2B
1,ENSG00000152380,FAM151B
1,ENSG00000152766,ANKRD22
1,ENSG00000152969,JAKMIP1
1,ENSG00000153292,GPR110
1,ENSG00000153815,CMIP
1,ENSG00000153914,SREK1
1,ENSG00000154451,GBP5
1,ENSG00000156313,RPGR
1,ENSG00000157873,TNFRSF14
1,ENSG00000158042,MRPL17
1,ENSG00000158545,ZC3H18
1,ENSG00000158710,TAGLN2
1,ENSG00000158716,DUSP23
1,ENSG00000158764,ITLN2
1,ENSG00000158864,NDUFS2
1,ENSG00000159147,DONSON
1,ENSG00000159189,C1QC
1,ENSG00000159210,SNF8
1,ENSG00000159216,RUNX1
1,ENSG00000159224,GIP
1,ENSG00000159399,HK2
1,ENSG00000159403,C1R
1,ENSG00000159674,SPON2
1,ENSG00000159784,FAM131B
1,ENSG00000159873,CCDC117
1,ENSG00000160255,ITGB2
1,ENSG00000160271,RALGDS
1,ENSG00000160563,MED27
1,ENSG00000160888,IER2
1,ENSG00000161016,RPL8
1,ENSG00000161179,YDJC
1,ENSG00000161634,DCD
1,ENSG00000161654,LSM12
1,ENSG00000162065,TBC1D24
1,ENSG00000162076,FLYWCH2
1,ENSG00000162078,ZG16B
1,ENSG00000162344,FGF19
1,ENSG00000162385,MAGOH
1,ENSG00000162511,LAPTM5
1,ENSG00000162639,HENMT1
1,ENSG00000162654,GBP4
1,ENSG00000162711,NLRP3
1,ENSG00000162783,IER5
1,ENSG00000162819,BROX
1,ENSG00000162896,PIGR
1,ENSG00000163041,H3F3A
1,ENSG00000163046,ANKRD30BL
1,ENSG00000163125,RPRD2
1,ENSG00000163191,S100A11
1,ENSG00000163220,S100A9
1,ENSG00000163257,DCAF16
1,ENSG00000163421,PROK2
1,ENSG00000163501,IHH
1,ENSG00000163660,CCNL1
1,ENSG00000163735,CXCL5
1,ENSG00000163798,SLC4A1AP
1,ENSG00000163823,CCR1
1,ENSG00000163874,ZC3H12A
1,ENSG00000163902,RPN1
1,ENSG00000163923,RPL39L
1,ENSG00000163931,TKT
1,ENSG00000164209,SLC25A46
1,ENSG00000164266,SPINK1
1,ENSG00000164403,SHROOM1
1,ENSG00000164414,SLC35A1
1,ENSG00000164604,GPR85
1,ENSG00000164611,PTTG1
1,ENSG00000164816,DEFA5
1,ENSG00000164822,DEFA6
1,ENSG00000164896,FASTK
1,ENSG00000164924,YWHAZ
1,ENSG00000164938,TP53INP1
1,ENSG00000165355,FBXO33
1,ENSG00000165501,LRR1
1,ENSG00000165502,RPL36AL
1,ENSG00000165527,ARF6
1,ENSG00000165591,FAAH2
1,ENSG00000166278,C2
1,ENSG00000166441,RPL27A
1,ENSG00000166473,PKD1L2
1,ENSG00000166523,CLEC4E
1,ENSG00000166557,TMED3
1,ENSG00000166592,RRAD
1,ENSG00000166822,TMEM170A
1,ENSG00000166869,CHP2
1,ENSG00000166925,TSC22D4
1,ENSG00000167004,PDIA3
1,ENSG00000167034,NKX3-1
1,ENSG00000167074,TEF
1,ENSG00000167088,SNRPD1
1,ENSG00000167283,ATP5L
1,ENSG00000167371,PRRT2
1,ENSG00000167526,RPL13
1,ENSG00000167578,RAB4B
1,ENSG00000167644,C19orf33
1,ENSG00000167779,IGFBP6
1,ENSG00000168175,MAPK1IP1L
1,ENSG00000168476,REEP4
1,ENSG00000168685,IL7R
1,ENSG00000168701,TMEM208
1,ENSG00000168781,PPIP5K1
1,ENSG00000168802,CHTF8
1,ENSG00000168875,SOX14
1,ENSG00000168938,PPIC
1,ENSG00000169136,ATF5
1,ENSG00000169241,SLC50A1
1,ENSG00000169564,PCBP1
1,ENSG00000169976,SF3B5
1,ENSG00000170340,B3GNT2
1,ENSG00000170417,TMEM182
1,ENSG00000170561,IRX2
1,ENSG00000170619,COMMD5
1,ENSG00000170634,ACYP2
1,ENSG00000170745,KCNS3
1,ENSG00000170989,S1PR1
1,ENSG00000171051,FPR1
1,ENSG00000171130,ATP6V0E2
1,ENSG00000171222,SCAND1
1,ENSG00000171223,JUNB
1,ENSG00000171236,LRG1
1,ENSG00000172016,REG3A
1,ENSG00000172023,REG1B
1,ENSG00000172216,CEBPB
1,ENSG00000172236,TPSAB1
1,ENSG00000172243,CLEC7A
1,ENSG00000172301,COPRS
1,ENSG00000172336,POP7
1,ENSG00000172602,RND1
1,ENSG00000172638,EFEMP2
1,ENSG00000172732,MUS81
1,ENSG00000172878,METAP1D
1,ENSG00000172932,ANKRD13D
1,ENSG00000172965,MIR4435-1HG
1,ENSG00000173369,C1QB
1,ENSG00000173432,SAA1
1,ENSG00000173786,CNP
1,ENSG00000174498,IGDCC3
1,ENSG00000174799,CEP135
1,ENSG00000174886,NDUFA11
1,ENSG00000175063,UBE2C
1,ENSG00000175130,MARCKSL1
1,ENSG00000175348,TMEM9B
1,ENSG00000175538,KCNE3
1,ENSG00000175602,CCDC85B
1,ENSG00000175699,LINC00521
1,ENSG00000175745,NR2F1
1,ENSG00000175826,CTDNEP1
1,ENSG00000176095,IP6K1
1,ENSG00000176153,GPX2
1,ENSG00000176200,OR4D11
1,ENSG00000176533,GNG7
1,ENSG00000176788,BASP1
1,ENSG00000176890,TYMS
1,ENSG00000176973,FAM89B
1,ENSG00000176978,DPP7
1,ENSG00000177374,HIC1
1,ENSG00000177409,SAMD9L
1,ENSG00000177565,TBL1XR1
1,ENSG00000177606,JUN
1,ENSG00000177733,HNRNPA0
1,ENSG00000177807,KCNJ10
1,ENSG00000178188,SH2B1
1,ENSG00000178449,COX14
1,ENSG00000178573,MAF
1,ENSG00000178828,RNF186
1,ENSG00000178951,ZBTB7A
1,ENSG00000179041,RRS1
1,ENSG00000179051,RCC2
1,ENSG00000179241,LDLRAD3
1,ENSG00000179456,ZBTB18
1,ENSG00000179921,GPBAR1
1,ENSG00000180089,TMEM86B
1,ENSG00000180304,OAZ2
1,ENSG00000180370,PAK2
1,ENSG00000180425,C11orf71
1,ENSG00000180537,RNF182
1,ENSG00000180964,TCEAL8
1,ENSG00000181274,FRAT2
1,ENSG00000181374,CCL13
1,ENSG00000181467,RAP2B
1,ENSG00000181929,PRKAG1
1,ENSG00000182240,BACE2
1,ENSG00000182512,GLRX5
1,ENSG00000182518,FAM104B
1,ENSG00000182871,COL18A1
1,ENSG00000183242,WT1-AS
1,ENSG00000183508,FAM46C
1,ENSG00000183684,ALYREF
1,ENSG00000183691,NOG
1,ENSG00000183856,IQGAP3
1,ENSG00000183978,COA3
1,ENSG00000184076,UQCR10
1,ENSG00000184113,CLDN5
1,ENSG00000184203,PPP1R2
1,ENSG00000184557,SOCS3
1,ENSG00000184588,PDE4B
1,ENSG00000184840,TMED9
1,ENSG00000184937,WT1
1,ENSG00000184990,SIVA1
1,ENSG00000185070,FLRT2
1,ENSG00000185215,TNFAIP2
1,ENSG00000185291,IL3RA
1,ENSG00000185338,SOCS1
1,ENSG00000185347,C14orf80
1,ENSG00000185482,STAC3
1,ENSG00000185499,MUC1
1,ENSG00000185803,SLC52A2
1,ENSG00000185847,LINC01405
1,ENSG00000185960,SHOX
1,ENSG00000186283,TOR3A
1,ENSG00000186407,CD300E
1,ENSG00000186474,KLK12
1,ENSG00000186509,OR9Q1
1,ENSG00000186577,C6orf1
1,ENSG00000187193,MT1X
1,ENSG00000187483,SERPINA13P
1,ENSG00000187608,ISG15
1,ENSG00000187908,DMBT1
1,ENSG00000188257,PLA2G2A
1,ENSG00000188451,SRP72P2
1,ENSG00000188725,SMIM15
1,ENSG00000188763,FZD9
1,ENSG00000189067,LITAF
1,ENSG00000189337,KAZN
1,ENSG00000196154,S100A4
1,ENSG00000196470,SIAH1
1,ENSG00000196497,IPO4
1,ENSG00000197540,GZMM
1,ENSG00000197601,FAR1
1,ENSG00000197785,ATAD3A
1,ENSG00000197956,S100A6
1,ENSG00000198019,FCGR1B
1,ENSG00000198060,05-Mar
1,ENSG00000198113,TOR4A
1,ENSG00000198225,FKBP1C
1,ENSG00000198355,PIM3
1,ENSG00000198535,C2CD4A
1,ENSG00000198643,FAM3D
1,ENSG00000198691,ABCA4
1,ENSG00000198746,GPATCH3
1,ENSG00000198805,PNP
1,ENSG00000198856,OSTC
1,ENSG00000198858,R3HDM4
1,ENSG00000198873,GRK5
1,ENSG00000198887,SMC5
1,ENSG00000198918,RPL39
1,ENSG00000199373,RNA5SP453
1,ENSG00000199562,RNU6-37P
1,ENSG00000200516,RNA5SP378
1,ENSG00000200619,RNA5SP447
1,ENSG00000200741,RNA5SP161
1,ENSG00000203414,BTBD7P1
1,ENSG00000203747,FCGR3A
1,ENSG00000204147,ASAH2B
1,ENSG00000204183,GDF5OS
1,ENSG00000204264,PSMB8
1,ENSG00000204397,CARD16
1,ENSG00000204673,AKT1S1
1,ENSG00000204787,REG1P
1,ENSG00000205155,PSENEN
1,ENSG00000205274,TRBV20OR9-2
1,ENSG00000205352,PRR13
1,ENSG00000205403,CFI
1,ENSG00000205544,TMEM256
1,ENSG00000205763,RP9P
1,ENSG00000206342,STK19
1,ENSG00000206406,CSNK2B
1,ENSG00000206418,RAB12
1,ENSG00000206435,HLA-C
1,ENSG00000206452,HLA-C
1,ENSG00000211460,TSN
1,ENSG00000211592,IGKC
1,ENSG00000211638,IGLV8-61
1,ENSG00000211677,IGLC2
1,ENSG00000211678,IGLJ3
1,ENSG00000211679,IGLC3
1,ENSG00000211685,IGLC7
1,ENSG00000211840,TRAJ49
1,ENSG00000211860,TRAJ29
1,ENSG00000211895,IGHA1
1,ENSG00000211899,IGHM
1,ENSG00000211943,IGHV3-15
1,ENSG00000212051,MIR320C2
1,ENSG00000212643,ZRSR1
1,ENSG00000212866,HSPA1B
1,ENSG00000213069,KRT8P40
1,ENSG00000213339,QTRT1
1,ENSG00000213397,HAUS7
1,ENSG00000213853,EMP2
1,ENSG00000213889,PPM1N
1,ENSG00000213923,CSNK1E
1,ENSG00000214178,PPIAP23
1,ENSG00000214283,RAD51AP1P1
1,ENSG00000214318,ATP5G1P6
1,ENSG00000214753,HNRNPUL2
1,ENSG00000215030,RPL13P12
1,ENSG00000215177,IGLV8OR8-1
1,ENSG00000215301,DDX3X
1,ENSG00000215305,VPS16
1,ENSG00000220785,MTMR9LP
1,ENSG00000221275,MIR548I2
1,ENSG00000221963,APOL6
1,ENSG00000221968,FADS3
1,ENSG00000222037,IGLC6
1,ENSG00000222067,RNU4-86P
1,ENSG00000222266,RNU6-757P
1,ENSG00000222724,RNU2-63P
1,ENSG00000223625,CYCSP32
1,ENSG00000224159,HMGB1P9
1,ENSG00000224399,SLC39A7
1,ENSG00000224551,HMGB3P21
1,ENSG00000224608,HLA-B
1,ENSG00000225128,LINC00972
1,ENSG00000225131,PSME2P2
1,ENSG00000225691,HLA-C
1,ENSG00000225796,MTND4P23
1,ENSG00000226059,HMGB3P20
1,ENSG00000226360,RPL10AP6
1,ENSG00000226611,OFD1P2Y
1,ENSG00000226976,COX6A1P2
1,ENSG00000227233,CICP17
1,ENSG00000227730,MTND6P5
1,ENSG00000227973,PIN4P1
1,ENSG00000228570,NUTM2E
1,ENSG00000229183,PGA4
1,ENSG00000230148,HOXB-AS1
1,ENSG00000230335,DNAJB5P1
1,ENSG00000230651,RGPD4-AS1
1,ENSG00000230708,HLA-DPB1
1,ENSG00000230734,RPL10P3
1,ENSG00000231123,SPATA20P1
1,ENSG00000231503,PTMAP4
1,ENSG00000231555,HSPA1B
1,ENSG00000231999,FLJ27354
1,ENSG00000232119,MCTS1
1,ENSG00000233382,NKAPP1
1,ENSG00000233701,PRR23C
1,ENSG00000233971,RPS20P10
1,ENSG00000234539,ATF6B
1,ENSG00000235034,C19orf81
1,ENSG00000235844,HLA-DPA1
1,ENSG00000235903,CPB2-AS1
1,ENSG00000236552,RPL13AP5
1,ENSG00000237401,LINC01304
1,ENSG00000238265,LINC00317
1,ENSG00000239210,RPS26P55
1,ENSG00000239513,LINC01210
1,ENSG00000239974,EGFL8
1,ENSG00000240382,IGKV1-17
1,ENSG00000240435,RPS12P27
1,ENSG00000240849,TMEM189
1,ENSG00000240864,IGKV1-16
1,ENSG00000241294,IGKV2-24
1,ENSG00000241469,LINC00635
1,ENSG00000242766,IGKV1D-17
1,ENSG00000242802,AP5Z1
1,ENSG00000242948,EPS15P1
1,ENSG00000243238,IGKV2-30
1,ENSG00000243317,C7orf73
1,ENSG00000243594,PSMB9
1,ENSG00000243742,RPLP0P2
1,ENSG00000243775,OSTCP1
1,ENSG00000244187,TMEM141
1,ENSG00000244378,RPS2P45
1,ENSG00000247596,TWF2
1,ENSG00000247844,CCAT1
1,ENSG00000249141,RP11-514O12.4
1,ENSG00000250067,YJEFN3
1,ENSG00000250471,GMPSP1
1,ENSG00000251891,RNU7-79P
1,ENSG00000251991,RNU7-49P
1,ENSG00000252053,RNU6-1101P
1,ENSG00000252125,RNU6-1299P
1,ENSG00000252496,RNA5SP33
1,ENSG00000252530,RNU6-965P
1,ENSG00000252623,RNA5SP481
1,ENSG00000253120,IGLV2-34
1,ENSG00000253488,FAM60DP
1,ENSG00000254087,LYN
1,ENSG00000254093,PINX1
1,ENSG00000254300,LINC01111
1,ENSG00000254911,SCARNA9
1,ENSG00000255238,RFPL4AP1
1,ENSG00000255717,SNHG1
1,ENSG00000257101,LRRC37A13P
1,ENSG00000259001,RPPH1
1,ENSG00000260260,SNHG19
1,ENSG00000260456,C16orf95
1,ENSG00000261205,NIFKP4
1,ENSG00000262814,MRPL12
1,ENSG00000262870,CYCSP40
1,ENSG00000264675,MIR4285
1,ENSG00000265093,RN7SL246P
1,ENSG00000265206,MIR142
1,ENSG00000265480,KRT18P55
1,ENSG00000266402,SNORA76C
1,ENSG00000266761,MIR3194
1,ENSG00000266777,SH3GL1P1
1,ENSG00000267795,SMIM22
1,ENSG00000268104,SLC6A14
1,ENSG00000269713,NBPF9
1,ENSG00000269893,SNHG8
1,ENSG00000270164,LINC01480
1,ENSG00000270427,NRBF2P5
1,ENSG00000270763,DDX43P2
1,ENSG00000272647,GS1-259H13.10
1,ENSG00000272752,STAG3L5P-PVRIG2P-PILRB
1,ENSG00000273633,CDC42EP5
1,ENSG00000273822,MUC4
1,ENSG00000273859,RASSF7
1,ENSG00000273936,TNFRSF14
1,ENSG00000274240,AC136352.2
1,ENSG00000274338,CATSPERB
1,ENSG00000274504,AC011476.3
1,ENSG00000274536,MIR223
1,ENSG00000274768,CISD3
1,ENSG00000275165,TSEN34
1,ENSG00000276336,SCARF1
1,ENSG00000276469,GPR179
1,ENSG00000276657,PYCRL
1,ENSG00000276701,MIF
1,ENSG00000276920,NKD2
1,ENSG00000277037,AC233280.6
1,ENSG00000277443,MARCKS
1,ENSG00000277445,CPEB1
1,ENSG00000277462,ZNF670
1,ENSG00000277734,TRAC
1,ENSG00000277972,CISD3
2,ENSG00000001167,NFYA
2,ENSG00000003402,CFLAR
2,ENSG00000003756,RBM5
2,ENSG00000004534,RBM6
2,ENSG00000004700,RECQL
2,ENSG00000005175,RPAP3
2,ENSG00000005483,KMT2E
2,ENSG00000005810,MYCBP2
2,ENSG00000005889,ZFX
2,ENSG00000006062,MAP3K14
2,ENSG00000006210,CX3CL1
2,ENSG00000006607,FARP2
2,ENSG00000006715,VPS41
2,ENSG00000008710,PKD1
2,ENSG00000008988,RPS20
2,ENSG00000009954,BAZ1B
2,ENSG00000010219,DYRK4
2,ENSG00000010322,NISCH
2,ENSG00000011243,AKAP8L
2,ENSG00000011275,RNF216
2,ENSG00000011405,PIK3C2A
2,ENSG00000012048,BRCA1
2,ENSG00000013563,DNASE1L1
2,ENSG00000014138,POLA2
2,ENSG00000015532,XYLT2
2,ENSG00000024048,UBR2
2,ENSG00000031081,ARHGAP31
2,ENSG00000031698,SARS
2,ENSG00000032444,PNPLA6
2,ENSG00000033327,GAB2
2,ENSG00000035687,ADSS
2,ENSG00000036549,ZZZ3
2,ENSG00000037757,MRI1
2,ENSG00000038219,BOD1L1
2,ENSG00000038274,MAT2B
2,ENSG00000041802,LSG1
2,ENSG00000046651,OFD1
2,ENSG00000047346,FAM214A
2,ENSG00000047578,KIAA0556
2,ENSG00000047662,FAM184B
2,ENSG00000048649,RSF1
2,ENSG00000049618,ARID1B
2,ENSG00000050426,LETMD1
2,ENSG00000051523,CYBA
2,ENSG00000053702,NRIP2
2,ENSG00000054118,THRAP3
2,ENSG00000054611,TBC1D22A
2,ENSG00000054654,SYNE2
2,ENSG00000055130,CUL1
2,ENSG00000055483,USP36
2,ENSG00000055609,KMT2C
2,ENSG00000056736,IL17RB
2,ENSG00000057663,ATG5
2,ENSG00000059588,TARBP1
2,ENSG00000060237,WNK1
2,ENSG00000060749,QSER1
2,ENSG00000061936,SFSWAP
2,ENSG00000061938,TNK2
2,ENSG00000062194,GPBP1
2,ENSG00000062650,WAPAL
2,ENSG00000063046,EIF4B
2,ENSG00000063244,U2AF2
2,ENSG00000063601,MTMR1
2,ENSG00000063978,RNF4
2,ENSG00000064270,ATP2C2
2,ENSG00000064393,HIPK2
2,ENSG00000064607,SUGP2
2,ENSG00000065150,IPO5
2,ENSG00000065413,ANKRD44
2,ENSG00000065809,FAM107B
2,ENSG00000066084,DIP2B
2,ENSG00000066427,ATXN3
2,ENSG00000066777,ARFGEF1
2,ENSG00000066923,STAG3
